date,type,category,amount,memo
2025-03-01,지출,식비,12000,점심 식사
2025-03-01,지출,카페,4500,아메리카노
2025-03-01,지출,교통,1400,지하철 요금
2025-03-01,지출,장보기,28000,마트 장보기
2025-03-01,지출,엔터,15000,영화 관람
2025-03-01,수입,용돈,20000,가족 용돈
2025-03-01,수입,프리랜스,50000,단기 작업 대금
2025-03-01,수입,이자,700,은행 이자
2025-03-02,지출,식비,11000,점심 식사
2025-03-02,지출,카페,3800,카페 라떼
2025-03-02,지출,교통,1250,버스 요금
2025-03-02,지출,장보기,22000,과일/채소
2025-03-02,지출,생활용품,9000,세제 구입
2025-03-02,수입,환급,15000,구매 환불
2025-03-02,수입,이자,600,은행 이자
2025-03-03,지출,식비,13000,점심 식사
2025-03-03,지출,카페,5000,디카페인 커피
2025-03-03,지출,교통,1350,지하철 요금
2025-03-03,지출,엔터,12000,보드게임 카페
2025-03-03,수입,용돈,10000,지인 용돈
2025-03-03,수입,프리랜스,40000,디자인 작업
2025-03-03,수입,환급,8000,배송비 환급
2025-03-04,지출,식비,9000,아침 겸 점심
2025-03-04,지출,카페,4200,아이스 아메리카노
2025-03-04,지출,교통,1400,지하철 요금
2025-03-04,지출,장보기,26000,정육 코너
2025-03-04,지출,통신비,45000,휴대폰 요금
2025-03-04,수입,이자,650,은행 이자
2025-03-04,수입,보너스,30000,프로젝트 보너스
2025-03-05,지출,식비,12000,점심 식사
2025-03-05,지출,카페,4300,카푸치노
2025-03-05,지출,교통,1300,버스 요금
2025-03-05,지출,엔터,10000,스트리밍 결제
2025-03-05,수입,환급,12000,반품 환불
2025-03-05,수입,프리랜스,35000,콘텐츠 제작
2025-03-05,수입,이자,550,은행 이자
2025-03-06,지출,식비,15000,저녁 식사
2025-03-06,지출,카페,4000,아메리카노
2025-03-06,지출,장보기,31000,마트 장보기
2025-03-06,지출,의류,42000,셔츠 구입
2025-03-06,수입,용돈,15000,가족 용돈
2025-03-06,수입,이자,700,은행 이자
2025-03-06,수입,보너스,20000,성과 보너스
2025-03-07,지출,식비,10000,점심 식사
2025-03-07,지출,카페,4600,라떼
2025-03-07,지출,교통,1200,지하철 요금
2025-03-07,지출,생활용품,8000,주방 소모품
2025-03-07,수입,환급,9000,쿠폰 환불
2025-03-07,수입,프리랜스,60000,웹 작업 대금
2025-03-07,수입,이자,500,은행 이자

